date,open,high,low,close,volumefrom,volumeto,supply,market_cap,price_log_return,volumefrom_log_return,market_cap_log_return,volatility_5d,volatility_10d,volatility_30d,volatility_5d_log_return,volatility_10d_log_return,volatility_30d_log_return
2018-02-01,10226.86,10280.84,8726.95,9114.72,208918.8,1964308989.29,16839677.2953002,153488943437.01865,,,,,,,,,
2018-02-02,9114.73,9147.93,7786.2,8870.82,322596.22,2768759876.15,16841777.2953002,149400374866.69492,-0.027123450565797243,0.43445578859928374,-0.026998752863263614,,,,,,
2018-02-03,8872.87,9504.37,8194.68,9251.27,139226.07,1253484523.4,16843752.2953002,155826100296.9419,0.04199360089993797,-0.8403024334779695,0.042110861933163046,,,,,,
2018-02-04,9251.27,9400.99,7889.83,8218.05,164609.06,1413207410.82,16845977.2953002,138441083711.6418,-0.11842788474910784,0.16747431440799548,-0.11829579701612364,,,,,,
2018-02-05,8218.05,8391.29,6627.31,6937.08,341828.54,2534149181.03,16848289.7952994,116877934173.17555,-0.16945201794875217,0.7307359370624024,-0.16931475424174772,,,,,,
2018-02-06,6936.43,7932.38,5968.36,7701.25,495883.24,3397596513.74,16850414.7952995,129769256942.30028,0.10450171664728357,0.3720312294695061,0.10462783425499185,0.11233867491008778,,,,,
2018-02-07,7701.25,8572.68,7208.86,7592.72,271450.37,2159765331.36,16852177.2952994,127953863593.56566,-0.014192759865550254,-0.602561172386616,-0.014088168503748255,0.11267629957977914,,,0.003000910706756488,,
2018-02-08,7593.78,8643.94,7590.48,8260.69,193040.33,1594673973.51,16853814.7952995,139224139341.38263,0.08431822567188949,-0.34088019259524044,0.0844153894044974,0.12083617105382219,,,0.06991656754535008,,
2018-02-09,8259.26,8743.2,7775.36,8696.83,162279.68,1348072086.15,16855502.2952995,146589438026.82956,0.0514504722933814,-0.17357786436969289,0.051550592980897786,0.11062487438731933,,,-0.08829070208862752,,
2018-02-10,8696.83,9081.49,8176.25,8569.29,155616.78,1348923336.33,16857289.7952995,144455004869.96207,-0.014773709409879644,-0.041924819889006724,-0.014667666576235293,0.05515239913462211,,,-0.6960447211045542,,
2018-02-11,8569.32,8573.35,7862.31,8084.61,123293.84,1013771945.88,16859177.2952995,136299873353.35129,-0.05822262764768764,-0.23282599707309237,-0.05811066455280581,0.05721514232420197,0.08710587795593948,,0.0367183425585724,,
2018-02-12,8084.61,8997.34,8084.41,8911.27,124923.98,1085921871.17,16861252.2952995,150255171741.5336,0.09735451341243284,0.013134942824212258,0.09747758420529123,0.06654815783600013,0.09337221725980209,,0.15110727425681333,0.06946947451545635,
2018-02-13,8911.17,8955.15,8379.35,8544.69,98632.88,853320352.71,16863302.2952995,144091690489.62268,-0.04200673041721033,-0.23630071771785144,-0.04188515727696232,0.06570624153388524,0.09299777077109653,,-0.012731942062362925,-0.0040183185770092,
2018-02-14,8544.69,9508.22,8542.98,9485.64,133702.54,1220863360.18,16865539.7952994,159980438903.8838,0.10446903868708943,0.3042128071034681,0.10460171445444456,0.07787301245642497,0.09024623629734208,,0.16988553305896803,-0.03003362939585218,
2018-02-15,9485.64,10223.58,9363.38,10033.75,168776.78,1666668487.88,16867177.2952995,169241040186.71136,0.056175334392540924,0.2329595317743974,0.056272421146447524,0.07701224654334106,0.06340109214903776,,-0.011114999328403558,-0.35306080564652526,
2018-02-16,10033.75,10303.14,9720.38,10188.73,105556.67,1061827697.26,16869139.7952994,171875110706.56085,0.015327797011622561,-0.46932904836064054,0.015444140475957728,0.06092017757376818,0.05895267952982935,,-0.2344000123337525,-0.07274600738956405,
2018-02-17,10188.73,11119.45,10074.07,11097.21,123660.48,1327921168.02,16871002.2952994,187221055381.41943,0.08541151789761965,0.15829178063638785,0.08552192051518376,0.05860638294330168,0.05944607170348201,,-0.038720828292558615,0.008334463405451525,
2018-02-18,11097.21,11288.34,10161.01,10417.23,154431.22,1659704217.34,16873027.2952994,175770206131.41174,-0.06323255932086158,0.2222090734893732,-0.06311253808883928,0.06660536688005748,0.06473484944334337,,0.1279415434859795,0.0852301441335818,
2018-02-19,10418.12,11265.96,10336.32,11182.28,108244.29,1186535653.61,16875052.2952994,188701559780.68057,0.07086921648216973,-0.3553582019996689,0.07098922331082462,0.05977272132051454,0.06595633673437143,,-0.1082357664114929,0.01869327069545124,
2018-02-20,11182.28,11802.23,11130.95,11256.43,142449.23,1640343867.77,16876814.7952995,189972684366.25314,0.006609138396119316,0.27459503830044074,0.00671357706299191,0.05905556014974465,0.06485610726920504,,-0.01207069343265958,-0.016821876821589036,
2018-02-21,11256.78,11295.58,10256.21,10481.66,183274.25,1982721124.63,16878927.2952994,176919177074.0479,-0.07131245763433017,0.2519980093662163,-0.07118729374387316,0.07294585482830065,0.06687413725300875,,0.21123875302101347,0.030641222599707484,
2018-02-22,10481.66,10941.57,9757.19,9847.96,175506.26,1795951829.82,16880789.7952994,166241342672.51666,-0.062362736160509843,-0.043308953104671026,-0.06225239755803338,0.061616524480056015,0.06700264631295927,,-0.16878736214913231,0.0019198115759545553,
2018-02-23,9847.96,10420.67,9604.0,10175.51,139373.76,1399448203.16,16882639.7952994,171789470063.467,0.03271952578719416,-0.23051546647162863,0.032829111811142855,0.061239355303173454,0.06468560784634009,,-0.006140045759180999,-0.035193383472038195,
2018-02-24,10175.51,10528.0,9396.54,9705.73,125269.68,1244484468.57,16884452.2952994,163875935176.05624,-0.047267420171204715,-0.10669039194329984,-0.047160067130742896,0.045585448359041714,0.059607010845878466,,-0.2952014926937999,-0.0817655335517798,
2018-02-25,9705.73,9873.79,9329.44,9610.11,82430.45,793093192.66,16886589.7952994,162281985457.7047,-0.009900763424787684,-0.4185139458828009,-0.0097741756815301,0.04294399981328385,0.056554630161725385,,-0.05969161365772136,-0.05256612227787837,
